#----------------,--------------------,---------------------,---------,---------,----------
#  NAME          ,  RAJ               ,  DECJ               ,   DIST  , AGE     , EDOT
#                ,  (hms)             ,  (dms)              ,   (kpc) , (Yr)    , (ergs/s)
#----------------,--------------------,---------------------,---------,---------,----------
   J1437-5959    ,  14:37:01.91       ,  -59:59:01.4        ,   8.543 , 1.14e+05, 1.4e+36
   J1446-4701    ,  14:46:35.712054   ,  -47:01:26.78210    ,   1.569 , 3.55e+09, 3.7e+34
   J1452-5851    ,  14:52:52.60       ,  -58:51:13.2        ,   4.504 , 1.21e+05, 3.5e+34
   J1452-6036    ,  14:52:51.885      ,  -60:36:31.43       ,   6.135 , 1.69e+06, 1.5e+34
   B1449-64      ,  14:53:32.665      ,  -64:13:16.00       ,   2.800 , 1.04e+06, 1.9e+34
   J1459-6053    ,  14:59:29.99       ,  -60:53:20.7        ,   1.840 , 6.47e+04, 9.1e+35
   J1509-5850    ,  15:09:27.156      ,  -58:50:56.01       ,   3.372 , 1.54e+05, 5.1e+35
   B1508-57      ,  15:12:43.04       ,  -57:59:59.8        ,   6.835 , 2.98e+05, 1.3e+35
   J1513-2550    ,  15:13:23.32059    ,  -25:50:31.285      ,   3.956 , 1.55e+09, 9.0e+34
   B1509-58      ,  15:13:55.811      ,  -59:08:09.60       ,   4.400 , 1.57e+03, 1.7e+37
   J1514-4946    ,  15:14:19.1141     ,  -49:46:15.516      ,   0.909 , 3.05e+09, 1.6e+34
   J1514-5925    ,  15:14:59.10       ,  -59:25:43.5        ,   3.906 , 8.19e+05, 3.4e+34
   J1518+0204C   ,  15:18:32.788893   ,  +02:04:47.8153     ,   7.500 , 1.51e+09, 6.7e+34
   J1524-5625    ,  15:24:49.86       ,  -56:25:23.4        ,   3.378 , 3.18e+04, 3.2e+36
   J1531-5610    ,  15:31:27.901      ,  -56:10:55.33       ,   2.841 , 9.67e+04, 9.1e+35
   J1536-4948    ,  15:36:23.22091    ,  -49:48:54.6880     ,   0.978 , 2.3e+09 , 2.9e+34
   J1538-5551    ,  15:38:45.016      ,  -55:51:36.95       ,   5.977 , 5.17e+05, 1.1e+35
   B1535-56      ,  15:39:14.06       ,  -56:26:26.3        ,   3.536 , 7.95e+05, 1.3e+34
   J1541-5535    ,  15:41:49.6        ,  -55:35:01          ,   5.161 , 6.25e+04, 1.1e+35
   J1543-5149    ,  15:43:44.1498     ,  -51:49:54.685      ,   1.148 , 2.02e+09, 7.3e+34
   J1543-5459    ,  15:43:56.43       ,  -54:59:15.0        ,   4.658 , 1.15e+05, 3.8e+34
   J1544+4937    ,  15:44:04.48722    ,  +49:37:55.2545     ,   2.991 , 1.17e+10, 1.2e+34
   J1545-4550    ,  15:45:55.945458   ,  -45:50:37.52757    ,   2.222 , 1.08e+09, 4.5e+34
   J1548-5607    ,  15:48:44.015      ,  -56:07:34.3        ,   5.702 , 2.52e+05, 8.5e+34
   J1549-4848    ,  15:49:21.08       ,  -48:48:35.5        ,   1.308 , 3.24e+05, 2.3e+34
   J1550-5418    ,  15:50:54.12386    ,  -54:18:24.1141     ,   4.000 , 1.41e+03, 1.0e+35
   J1551-5310    ,  15:51:41.0        ,  -53:11:00.5        ,   5.878 , 3.69e+04, 8.2e+34
   J1554-5209    ,  15:54:27.15       ,  -52:09:38.3        ,   3.079 , 8.65e+05, 4.6e+34
   J1555-2908    ,  15:55:40.6586     ,  -29:08:28.426      ,   7.555 , 6.36e+08, 3.1e+35
   B1557-50      ,  16:00:53.015      ,  -50:44:21.30       ,   6.900 , 6.03e+05, 2.8e+34
   B1556-57      ,  16:00:19.90       ,  -57:51:15.3        ,   4.183 , 1.45e+06, 1.1e+34
   J1601-5335    ,  16:01:54.81       ,  -53:35:44.1        ,   3.576 , 7.33e+04, 1.0e+35
   B1607-52      ,  16:11:03.37       ,  -52:09:22.13       ,   2.949 , 5.59e+05, 3.4e+34
   J1614-2230    ,  16:14:36.507540   ,  -22:30:31.2961     ,   0.700 , 5.19e+09, 1.2e+34
   B1610-50      ,  16:14:11.29       ,  -50:48:03.5        ,   5.148 , 7.42e+03, 1.6e+36
   J1616-5017    ,  16:16:29.89       ,  -50:17:14.9        ,   3.480 , 1.67e+05, 1.6e+34
   J1617-5055    ,  16:17:29.3        ,  -50:55:13.2        ,   4.743 , 8.13e+03, 1.6e+37
